"Feature","Gain","index","model"
"wd_m",0.30602399909533,"k_index","xgboost w/o coordinates"
"velocity",0.29917315508531,"k_index","xgboost w/o coordinates"
"froude",0.265261719695318,"k_index","xgboost w/o coordinates"
"stream_power",0.129541126124042,"k_index","xgboost w/o coordinates"
"froude",0.344272548567148,"shannon_index","xgboost w/o coordinates"
"wd_m",0.253870402502949,"shannon_index","xgboost w/o coordinates"
"velocity",0.227071677229812,"shannon_index","xgboost w/o coordinates"
"stream_power",0.174785371700092,"shannon_index","xgboost w/o coordinates"
"wd_m",0.372781878603217,"abundance","xgboost w/o coordinates"
"froude",0.320414376714311,"abundance","xgboost w/o coordinates"
"velocity",0.222325927823876,"abundance","xgboost w/o coordinates"
"stream_power",0.0844778168585968,"abundance","xgboost w/o coordinates"
"wd_m",0.387050707693372,"rel_abundance","xgboost w/o coordinates"
"velocity",0.273909817749855,"rel_abundance","xgboost w/o coordinates"
"froude",0.245614007975066,"rel_abundance","xgboost w/o coordinates"
"stream_power",0.0934254665817069,"rel_abundance","xgboost w/o coordinates"
