"Feature","Gain","index","model"
"froude",0.405765601644965,"k_index","xgboost w/o coordinates"
"stream_power",0.30511592772142,"k_index","xgboost w/o coordinates"
"velocity",0.289118470633614,"k_index","xgboost w/o coordinates"
"froude",0.489518160211974,"shannon_index","xgboost w/o coordinates"
"velocity",0.272724872813287,"shannon_index","xgboost w/o coordinates"
"stream_power",0.23775696697474,"shannon_index","xgboost w/o coordinates"
"froude",0.496469856712427,"abundance","xgboost w/o coordinates"
"velocity",0.322429898098182,"abundance","xgboost w/o coordinates"
"stream_power",0.181100245189391,"abundance","xgboost w/o coordinates"
"froude",0.520874674885072,"rel_abundance","xgboost w/o coordinates"
"velocity",0.2837925788385,"rel_abundance","xgboost w/o coordinates"
"stream_power",0.195332746276429,"rel_abundance","xgboost w/o coordinates"
